id,item_id,category,item_name,item_condition,price,hot,bid_count,bidder,bid,pic
92,11953208,手机通讯,"仅机头为新，已激活 Apple iPhone 6s Plus (A1699) 64G 玫瑰金色 移动联通电信4G手机",使用过,6388,44696次,96,****绿,5558.00,http://img14.360buyimg.com/n1/jfs/t2302/16/135479564/94882/c76da045/55f0e877N3c24faa3.jpg
93,11957213,手机通讯,"诺基亚(NOKIA) 105 (RM-1134) 黑色 移动联通2G手机",使用过,123,3661次,21,****n901,89.00,http://img14.360buyimg.com/n1/jfs/t2233/89/988941562/63351/2260381e/563c77f5N713a6faa.jpg
94,11956443,手机通讯,"【无附件】乐视（Letv）乐1S（X500）32GB 金色 移动联通4G手机 双卡双待",维修过,1099,7053次,84,****8909,720.00,http://img14.360buyimg.com/n1/jfs/t2140/4/1534225725/218231/34e2240e/56612a3cNc021ccfa.jpg
95,11956928,办公文仪,"惠普（HP）F6V27AA 680 黑色墨盒 （适用Deskjet 2138 3638）",未使用,69,1888次,7,****白222,23.00,http://img14.360buyimg.com/n1/jfs/t1222/144/1400992932/155781/ec0c7048/559c8d4cNaeaa32df.jpg
96,11955898,电脑整机,"华为（HUAWEI） M2 平板电脑 10.1英寸（八核 海思麒麟930 3G/16G WiFi）月光银",使用过,2288,7417次,25,****虎,1528.00,http://img14.360buyimg.com/n1/jfs/t2365/12/1970796597/166957/62986e66/56935766N7a724b90.jpg
97,11953992,电脑整机,"微软（Microsoft）Surface Book 笔记本平板二合一 13.5英寸（Intel i5 8G内存 128G存储）银色",使用过,11088,10821次,14,****1025,8889.00,http://img14.360buyimg.com/n1/jfs/t2461/301/1826798526/133682/a771634c/56848530Nd9b19e5f.jpg
98,11955944,时尚影音,"森海塞尔（Sennheiser）MOMENTUM Wireless 包耳式蓝牙无线耳机 主动降噪 白色",维修过,3299,2939次,21,****1105,1526.00,http://img14.360buyimg.com/n1/jfs/t1882/94/2219292301/229617/f9880adf/56a721b9Naf99f735.jpg
99,11956980,玩具乐器,"费雪fisherprice双面加厚拼图地垫 爬行垫 游戏卡通动物爬爬垫19502（150*167*1.5CM）",使用过,129,808次,17,*****726,48.00,http://img14.360buyimg.com/n1/jfs/t982/336/47695096/317852/4d9bd2ff/54f43377N42c78d2d.jpg
100,11956530,五花八门,"大王（GOO.N） 维E系列 婴儿纸尿裤 中号M84片（6-11kg）",未使用,148,3306次,20,****ytql,80.00,http://img14.360buyimg.com/n1/jfs/t2557/203/24531424/151474/e540fb1e/563333ddN6a86ca0b.jpg
101,11956166,五花八门,"步步高（ BBK) 家教机专用耳机",使用过,Null,219次,Null,Null,Null,http://img14.360buyimg.com/n1/jfs/t1018/54/612876845/41306/39cd39f4/5535deccN128d514c.jpg
102,11956577,生活电器,"飞利浦（PHILIPS）多功能过滤网AC4141适用于AC4072,AC4083,AC4085",使用过,189,713次,5,****ijun,26.00,http://img14.360buyimg.com/n1/3602/49a049c8-e48b-4766-a9a9-2de3959bdc2e.jpg
103,11956249,生活电器,飞利浦（PHILIPS）扫地机器人FC8700/81全自动纤薄扫地机智能吸尘器,维修过,Null,2047次,36,****虫,606.00,http://img14.360buyimg.com/n1/jfs/t1777/227/169853175/89433/4a2d9b60/55cd7d9bN01a45ba6.jpg
104,11956493,五花八门,"好孩子（Goodbaby）婴儿儿童理发器 充电防水静音 C8111",使用过,119,2190次,12,****尹,64.00,http://img14.360buyimg.com/n1/jfs/t2359/101/2251062881/45915/b2af8ccc/56c28431Naf06f106.jpg
105,11955709,手机通讯,"锤子 坚果 32GB 黑色 移动联通4G手机 双卡双待",使用过,799,7293次,56,*****508,703.00,http://img14.360buyimg.com/n1/jfs/t2017/15/1170952641/600892/2ce37b43/5641c945N97ae8858.jpg
106,11956064,五花八门,"Apple iPhone 6s Plus (A1699) 16G 玫瑰金色 移动联通电信4G手机",维修过,5588,9964次,12,****nwsw,4722.00,http://img14.360buyimg.com/n1/jfs/t2302/16/135479564/94882/c76da045/55f0e877N3c24faa3.jpg
107,11955413,外设产品,"联想 KM4800 联想键盘鼠标套装 防水耐磨 游戏专用  黑色",使用过,69,3373次,7,****n258,35.00,http://img14.360buyimg.com/n1/g16/M00/0B/14/rBEbRlN91EIIAAAAAAEeuRLGSMAAACQ7AEe_5IAAR7R883.jpg
